name,longitude,latitude,city,state,url,letter,id
Appalachian State University,757,287,Boone,NC,appalachian-state-university,,4525
Arizona State University,243,347,Tempe,AZ,arizona-state-university,,2840
Auburn University,709,362,Auburn,AL,auburn-university,,2622
Baylor University,508,399,Waco,TX,baylor-university,x,3833
Boston College,906,114,Chestnut Hill,MA,boston-college,dx,390
Boston University,914,107,Boston,MA,boston-university,dz,1573
Brigham Young University,260,212,Provo,UT,brigham-young-university,bc,4464
Brown University,908,125,Providence,RI,brown-university,dw,311
Clemson University,758,310,Clemson,SC,clemson-university,c,83
College of Charleston,803,342,Charleston,SC,college-of-charleston,a,1098
College of William & Mary,838,229,Williamsburg,VA,college-of-william-mary,cx,1133
Colorado State University,370,209,Fort Collins,CO,colorado-state-university,be,4600
Columbia University,880,144,New York,NY,columbia-university,dr,562
Cornell University,827,126,Ithaca,NY,cornell-university,ds,3745
Dartmouth College,892,88,Hanover,NH,dartmouth-college,ec,2899
DePaul University,648,168,Chicago,IL,depaul-university,br,1682
Duke University,812,267,Durham,NC,duke-university,cs,52
Florida Atlantic University,828,471,Boca Raton,FL,florida-atlantic-university,k,2698
FIU,828,481,Miami,FL,florida-international-university,l,2541
Florida State University,743,404,Tallahassee,FL,florida-state-university,g,1789
George Mason University,825,211,Fairfax,VA,george-mason-university,db,1488
George Washington University,830,201,Washington,DC,george-washington-university,dd,1255
Georgetown University,824,197,Washington,DC,georgetown-university,dc,353
Georgia Tech,724,338,Atlanta,GA,georgia-institute-of-technology,ff,1524
Georgia State University,732,333,Atlanta,GA,georgia-state-university,e,2571
Harvard University,905,108,Cambridge,MA,harvard-university,ea,273
Indiana University,679,223,Bloomington,IN,indiana-university,bv,599
James Madison University,809,214,Harrisonburg,VA,james-madison-university,da,1728
Johns Hopkins University,837,194,Baltimore,MD,johns-hopkins-university,df,911
Kansas State University,506,233,Manhattan,KS,kansas-state-university,bg,3204
Louisiana State University,617,422,Baton Rouge,LA,louisiana-state-university,tt,1022
MIT,915,116,Cambridge,MA,massachusetts-institute-of-technology,dy,240
Michigan State University,698,140,East Lansing,MI,michigan-state-university,by,739
Mississippi State University,650,348,Mississippi State,MS,mississippi-state-university,q,3559
New York University,874,149,New York,NY,new-york-university,dq,1950
NC State University,825,275,Raleigh,NC,north-carolina-state-university,ct,2661
Northwestern University,642,159,Evanston,IL,northwestern-university,bq,635
Ohio State University,740,198,Columbus,OH,ohio-state-university,cc,490
Oklahoma State University,511,298,Stillwater,OK,oklahoma-state-university,bi,3928
Penn State University,811,172,University Park,PA,pennsylvania-state-university,dm,772
Princeton University,864,166,Princeton,NJ,princeton-university,do,805
